,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
0,No Supply-No Supply,No Supply,Not Initialized,18.0,0xeF8dc9b679Bc14B2b88110101f50c1D75BB394D5,No Supply,Not Initialized,18.0,0x65ea4A8D333731eA07d40A1372d0da94106aA589
1,ETH-WMOVR,ETH,0x639A647fbe20b6c8ac19E48E2de44ea792c62c5C,18.0,0x78D2b81cCF60De12955d39efE232f4c82d3d3B62,WMOVR,0x98878B06940aE243284CA214f92Bb71a2b032B8A,18.0,0xF251388624b69Fcff93e45cA02365B742727CB4e
2,WBTC-WMOVR,WBTC,0x6aB6d61428fde76768D7b45D8BFeec19c6eF91A8,8.0,0x348983536CE5E3c0eF6D4dDFb487F10982DCb025,WMOVR,0x98878B06940aE243284CA214f92Bb71a2b032B8A,18.0,0x97494005410eec97a4c4703AaBB0AbA10a334333
3,MIM-WMOVR,MIM,0x0caE51e1032e8461f4806e26332c030E34De3aDb,18.0,0x7c33B857a8CD97e613299e655Aa9Fb3BEe7cf2C9,WMOVR,0x98878B06940aE243284CA214f92Bb71a2b032B8A,18.0,0x6ebb52375236e667020606E04E30fD30C2cd0565
4,FRAX-WMOVR,FRAX,0x1A93B23281CC1CDE4C4741353F3064709A16197d,18.0,0x9297786C7858C3939E1d4D47257a748D823B8f31,WMOVR,0x98878B06940aE243284CA214f92Bb71a2b032B8A,18.0,0x067Cc46A20b44DfD9C7D8aE69cB3195F7253e309
5,IMX.m-WMOVR,IMX.m,0x900f1Ec5819FA087d368877cD03B265Bf1802667,18.0,0xC436480cb98751c194Ae06e2B8bc9f84895237f8,WMOVR,0x98878B06940aE243284CA214f92Bb71a2b032B8A,18.0,0xfAe1D53519d711fb6307BcE5D8da59EFCCA6EC7c
6,No Supply-No Supply,No Supply,Not Initialized,18.0,0x0aA26Ef5E8c29dD5b0389164095Db0B0AC007b07,No Supply,Not Initialized,9.0,0x8d9C9152D141a541787375fB32AA71447FBCa413
7,ETH-WMOVR,ETH,0x639A647fbe20b6c8ac19E48E2de44ea792c62c5C,18.0,0xc7DD443e356803D96372aAF84BcC70502d8e1400,WMOVR,0x98878B06940aE243284CA214f92Bb71a2b032B8A,18.0,0x7B0Bff73a5cC1c383d5b4a650AF38F07F287B865
