,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
23,Not Initialized-Not Initialized,Not Initialized,Not Initialized,18.0,Not Initialized,Not Initialized,Not Initialized,18.0,Not Initialized
24,JPYC-WETH,JPYC,0x6AE7Dfc73E0dDE2aa99ac063DcF7e8A63265108c,18.0,0xaC3a81DFDc7bFA404380273F67a4561038546f58,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xafDdf06d0F873EB4e7D9A82e972B018fB986c565
25,IMX-WETH,IMX,0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,18.0,0x71B9BA3Aa1f4Ad4E1915EedbADc853e9e372AB61,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xB052Dd710747F1256a4A0eD9D169217B9E0F3287
26,IMX-QUICK,IMX,0x60bB3D364B765C497C8cE50AE0Ae3f0882c5bD05,18.0,0x5107056724bb2c4A61a7b367F14d7468E72023D7,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,18.0,0xa95868daA8cf218300e1a61A536acb3C50685310
27,USDC-QUICK,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x033bc450e621465B7C75Fcc2DE0DA8AE9a055B1F,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,18.0,0x28e3a1fb7Fa474f292f6d54a60A25037FA263d1F
28,WETH-QUICK,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x711B779373fAa0769b0a9586cb8B068704F940F1,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,18.0,0x71c4c7f3A1BaDf81B2F5B1b0eBa644a185bfA539
29,WBTC-USDC,WBTC,0x1BFD67037B42Cf73acF2047067bd4F2C47D9BfD6,8.0,0x0D5ac9ffE84263dedBF42EF1Ad135fE414f18BC5,USDC,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174,6.0,0x8DE5471235B8A7E3d67015925F4953adca6085C6
30,WETH-AAVE,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xE7da715262747B71175E9123d073503b3E2fe8bd,AAVE,0xD6DF932A45C0f255f85145f286eA0b292B21C90B,18.0,0xF12E4A3A26bbFd8D27b063542F92eEc50efA686B
31,LINK-WETH,LINK,0x53E0bca35eC356BD5ddDFebbD1Fc0fD03FaBad39,18.0,0x2B3e227eb7A05fdEb3eF3200C2C8a9d175c7cd84,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0x00Af9631C257F73c61059C08d84d93d1c2041a5C
32,WETH-UNI,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,18.0,0xcA4231997d637C2D1aF70605ff05A936F71f871e,UNI,0xb33EaAd8d922B1083446DC23f610c2567fB5180f,18.0,0xcB5c8A2b59b808aB48b5caeA2474af9411d57419
33,QI-QUICK,QI,0x580A84C73811E1839F75d86d75d88cCa0c241fF4,18.0,0x0f26207A14b7b6920B06575d09E4fDDa35d299De,QUICK,0x831753DD7087CaC61aB5644b308642cc1c33Dc13,18.0,0x7BEFb7c79dE13941a3EBDCDF8FEc5F43BdCF01cb
