,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
26,WAVAX-USDT.e,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x4fbD1daC100CdCf6869019D133990f01aE435aAD,USDT.e,0xc7198437980c041c805A1EDcbA50c1Ce5db95118,6.0,0xEa1bB0a44dbf059799FA8B759Fb1b5f7AdaC764B
27,WETH.e-WAVAX,WETH.e,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18.0,0x073C0c106983F73fEA7b3A3688B654944824eC73,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0xdfB4ED5272dC07C0ae017ea6523F95460821a6Ea
28,QI-WAVAX,QI,0x8729438EB15e2C8B576fCc6AeCdA6A148776C0F5,18.0,0x5150388dAFb30EF826a412766bbb1366c73c486b,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0xE545c49600fF3Bc9D4ec9f1De4A5131B14f7a0dB
29,gOHM-WAVAX,gOHM,0x321E7092a180BB43555132ec53AaA65a5bF84251,18.0,0xfB97745428317ab7904FBE96e853149f1ec6d53b,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0xb50B9F18E1f4644db60A2a4Ad0bbEfCc38B9f316
30,MIM-STATIK,MIM,0x130966628846BFd36ff31a822705796e8cb8C18D,18.0,0x7AAf29A424Bd8CC1e651e176114A535F953Bec78,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0xe03BB479da2e403bE4E4fbA8c18a756625F67cA4
31,STATIK-USDC.e,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0xd7229fde25A083bb70974bbFaD727998dE700711,USDC.e,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664,6.0,0x041D680af92E7189Ef73aF6a82c1799eD983330d
32,STATIK-USDT.e,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0x8BCf803573eAe2f343c1affF2124cC85Ae05C217,USDT.e,0xc7198437980c041c805A1EDcbA50c1Ce5db95118,6.0,0xFFD3A43e6df06deb12Be638E9631d8296832011f
33,WBTC.e-STATIK,WBTC.e,0x50b7545627a5162F82A992c33b87aDc75187B218,8.0,0x1A91E863E515601D9DfC49B2f4D646e4087A87Aa,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0xf506d7E1A458CF8fB8dCd7FB0623f0442F29bac2
34,WETH.e-STATIK,WETH.e,0x49D5c2BdFfac6CE2BFdB6640F4F80f226bc10bAB,18.0,0x7208cca4a844634580C9Cd47F3bB6831CD403Af5,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0x86566A41eD03F03804636eFDA87E47806c35A954
35,sTHO-STATIK,sTHO,0x63468133ed352E602bEB61DD254D6060Ad2fe419,18.0,0x08613e3dF6fc9940B6304d15a4472f6eF8B507f8,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0xBCDa987fE0CD850899152C6a72DD370e7767324F
36,wMEMO-STATIK,wMEMO,0x0da67235dD5787D67955420C84ca1cEcd4E5Bb3b,18.0,0x5dc15504EB55198a354E392F9D1d5Ae5EbA33732,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0xD4A3bEa4fE8C0e6DbC37F5b1D85FC81997D5f672
37,USDC.e-THO,USDC.e,0xA7D7079b0FEaD91F3e65f86E8915Cb59c1a4C664,6.0,0x2b1Fe750177b807b7dcC4B6DAc34947c9Bc0cf67,THO,0xAE4AA155D2987B454C29450ef4f862CF00907B61,18.0,0xa8659D0c2A3CF623aCFDCcd276974B808bd76A03
38,MIM-WAVAX,MIM,0x130966628846BFd36ff31a822705796e8cb8C18D,18.0,0x1efA8a92f00FeA0821f6218F3B746D55280E1eCf,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x97039f5F246885e5B21cc4CACECD55C614c6aED6
39,STATIK-DAI.e,STATIK,0x97d367A5f900F5c9dB4370D0D801Fc52332244C7,18.0,0x512a63ECF2C37Fb0dB80c701DE2Ed490E2d7470C,DAI.e,0xd586E7F844cEa2F87f50152665BCbc2C279D8d70,18.0,0xBB39E634Ea8F5d759f5C530eEDc004B908ae3957
40,PTP-WAVAX,PTP,0x22d4002028f537599bE9f666d1c4Fa138522f9c8,18.0,0xDbF814632f7DEa43c22F7145277b244Fb347fD31,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x2E9B0abE94F7dE399365908bC8D2Ea25Cdfb2f72
41,sAVAX-WAVAX,sAVAX,0x2b2C81e08f1Af8835a78Bb2A90AE924ACE0eA4bE,18.0,0x62eBE1F2b6aE988c6f60F27F64f9e384D6047A22,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0xb1C48E283a37585eFCa6A8Ec7DD6E73D91f76755
42,UST-WAVAX,UST,0x260Bbf5698121EB85e7a74f2E45E16Ce762EbE11,6.0,0xC589CE73F95d8bD737562ECbfe087Fd3a12ff852,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x483a4b9e23B938656f345DB407BFA98748d1aC2A
43,sAVAX-WAVAX,sAVAX,0x2b2C81e08f1Af8835a78Bb2A90AE924ACE0eA4bE,18.0,0xd82760dA53802cad26452e0E103B429abE3ae60a,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x6e9feE172782327E9a7dDcD8101195bdaD0f62E7
44,UST-WAVAX,UST,0x260Bbf5698121EB85e7a74f2E45E16Ce762EbE11,6.0,0x873B3155b3A1E2347348E28EfEdceB22e1FC683d,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x8c2eAeAA934b296E2F1E49fe8d7048ED3DE821d4
45,UST-USDC,UST,0x260Bbf5698121EB85e7a74f2E45E16Ce762EbE11,6.0,0x64b7e96c7d4A2069cA0d3Cfd7B659BBA0cCf16e9,USDC,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,6.0,0x687487260b36C5941F02cD9f5c408e4c773Ea3B7
46,UST-WAVAX,UST,0x260Bbf5698121EB85e7a74f2E45E16Ce762EbE11,6.0,0x6BA954C7dc3266161c0982e4CfA345F328d5664b,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,18.0,0x61F005E507ECF0D338F21A625DaD54B14F7cF998
47,UST-USDC,UST,0x260Bbf5698121EB85e7a74f2E45E16Ce762EbE11,6.0,0x0B9f78E0DcAA76B039422C0cEF305DC9789Db11b,USDC,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,6.0,0xc6E903B06D17D8182718c9Fd3AA532EF9aFe3a81
48,No Supply-No Supply,No Supply,0x260Bbf5698121EB85e7a74f2E45E16Ce762EbE11,18.0,0xEF9372D2168Ba217995fAF90e7C339759026515f,No Supply,0xB97EF9Ef8734C71904D8002F8b6Bc66Dd9c48a6E,18.0,0x304aB9f268A9b54E858896302D7EDD683104750a
