,Pair,Token0 Symbol,Token0 Underlying Address,Token0 Underlying Decimals,Token0 imxB Address,Token1 Symbol,Token1 Underlying Address,Token1 Underlying Decimals,Token1 imxB Address
22,WETH-AMP,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x5bD92f1cD205315c3C194B12D6435BBf8B5388e6,AMP,0xfF20817765cB7f73d4bde2e66e067E58D11095C2,18.0,0xD3dc5A67e28b31E740046720536bC490d2505Eb2
23,LINK-WETH,LINK,0x514910771AF9Ca656af840dff83E8264EcF986CA,18.0,0x8e406E87f48a3E83d7C28dAD365a49f7c7d18D90,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xed0E2cbef00b59b5be4c088b0B508Ecc6891dD82
24,DEP-USDT,DEP,0x1A3496C18d558bd9C6C8f609E1B129f67AB08163,18.0,0x62653DECFD008eFF622D60e490366216E2Ab1422,USDT,0xdAC17F958D2ee523a2206206994597C13D831ec7,6.0,0xE41E4b2077C4990232726B2fCEceeaE87FC4DC4e
25,AAVE-WETH,AAVE,0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,18.0,0xDEafe7C077519b20953cd9D2292FA52173996395,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xC3D78A5A3e62A5D8fd650C31DA1D6c9617D9Fbc2
26,COMP-WETH,COMP,0xc00e94Cb662C3520282E6f5717214004A7f26888,18.0,0x6c3684DC4b8b1e4E0fBa6C578b52f0B7EAC25705,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xca8799B653cf4f847950F28c84313cbB4c9958EF
27,MATIC-WETH,MATIC,0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0,18.0,0xdB6ce8E31186F84A0Ab15B10c8B86c73774636B0,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x7a84C7Ad241A0E5df2A488FCeE3382a838f839eE
28,SNX-WETH,SNX,0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F,18.0,0xd714AB48228d5f04be58D65968C16609fA8ec95B,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x26370F1cfb3FA8e4ae37e81030D8da61725Ae61C
29,YFI-WETH,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e,18.0,0x15dB66e4e274835bf28CD982b2EbF57157DfA7d1,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x3aFd9D1F9860153D05ea3D978fdbe4de9842C6D2
30,WETH-CRV,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xE26150594158e01A713397B4B776E42eAE1385F8,CRV,0xD533a949740bb3306d119CC777fa900bA034cd52,18.0,0x49677F88bf13C6344589839713f730B6D2c763cB
31,CEL-WETH,CEL,0xaaAEBE6Fe48E54f431b0C390CfaF0b017d09D42d,4.0,0xBA73274E749938d0442f106F3B4abB8f9Fcc0eA5,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x97F20D72570640DA1BA1F4355F0a36449A279e84
32,DEP-No Supply,DEP,0x1A3496C18d558bd9C6C8f609E1B129f67AB08163,18.0,0xBe95c18cC87F4f8dD4C8Ae240426cEF4Ef67bF44,No Supply,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xd2d68c7fF39E108c0faB67F8386C8Bb28bAe5240
33,EVN-WETH,EVN,0x9aF15D7B8776fa296019979E70a5BE53c714A7ec,18.0,0x4a52b0c61C0daBBc4929f93f88F30A5041C4cAd2,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0xA4d5e1451393087dFd2f25D6F711Cd4e043A83A7
34,No Supply-No Supply,No Supply,0x9aF15D7B8776fa296019979E70a5BE53c714A7ec,18.0,0xCBb1184ee4bd8F50C13B1dE1ff8592AE4Ab813fd,No Supply,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,18.0,0x272a699c833bC52BCC3d71EBc57DfDAd5c89b3F6
